Thijssen,Dekker,Khanna,Mkhatrishvili,Schlapp,Marijnen,Zou,Mynott,Ning,Schmidt,Spanjers,Market
1.84,1.25,2.04,1.7,1.53,1.61,1.69,1.4,0.91,1.12,1.65,1.18
-1.65,-2.01,-1.05,-1.73,-1.62,-0.73,-1.05,-1.27,-0.25,-1.25,-0.75,-0.26
1.08,1.19,1.48,0.57,-0.13,1.05,1.34,1.29,-0.18,0.89,1.38,0.59
-0.48,-0.61,-0.98,0.62,-0.18,0.22,-0.41,-0.07,-0.22,-0.57,0.03,-0.15
-0.04,-0.93,-0.07,-0.11,-0.06,-0.22,-0.48,0.4,0.48,-0.41,-0.36,-0.21
0.96,0.65,-0.15,-0.21,0.19,0.99,1.51,0.41,-0.07,0.41,0.37,-0.02
1.97,-0.32,-1,0.84,1.03,1.1,0.89,0.33,0.36,-0.49,0.43,0.39
1.89,1.36,-0.33,1.12,0.81,1.23,0.94,0.53,0.48,0.87,0.92,0.87
-0.38,-0.01,-0.36,-0.3,-0.85,0.3,0.12,0.04,0.1,0.08,0.1,-0.17
0.82,0.63,0.85,1.67,0.42,1.27,-0.33,0.39,0.49,0.63,0.53,0.69
0.48,-0.64,-0.65,0.2,0.72,0.43,0.17,0.1,0.41,-0.82,0.18,0.18
-2.48,-2.13,-2.51,-2.76,-1.48,-2.56,-2.36,-1.76,-0.67,-1.72,-2.11,-1.24
-1.84,-0.73,-0.68,-0.74,-1.46,-1.4,-1.99,-0.98,0.01,0.16,-0.9,-0.29
-0.21,-1.35,0.62,-0.27,-0.86,-0.42,-0.29,0.02,-0.21,0.02,-0.18,0.11
0.54,-0.22,1.22,1.87,1.07,0.97,1.3,0.66,0.78,0.33,0.78,0.65
-0.95,0.49,0.06,0.41,-0.19,-0.31,0.19,0.12,0.03,0.37,-0.21,0.02
2.85,1.62,1.59,1.9,1.56,1.74,1.55,1.96,0.31,0.6,1.57,0.6
-0.14,0.35,0.45,0.23,-0.34,0.58,1.15,0.8,0.36,0.47,0.1,0.26
-0.53,-2.51,-2.62,-2.98,-2.45,-2.52,-3.79,-2.74,-1.66,-2.43,-2.24,-1.88
3.09,0.84,0.94,0.32,0.89,0.89,0.59,0.35,0.36,0.31,0.49,0.71
1.97,1.82,2.2,2.34,1.84,1.98,0.64,1.79,1.36,1.34,1.76,1.75
0.32,-0.79,-0.03,-0.35,-0.8,0.26,-1.64,-0.66,-0.45,-1.1,0.03,-0.26
0.11,0.82,-0.51,-0.85,0.17,-0.03,0.52,-0.13,0.15,1.52,0.29,0.26
-0.64,1.56,0.18,-0.36,-0.19,0.8,0.16,-0.28,-0.45,0.44,0.17,0.29
0.67,1.59,1.21,1.8,1.15,0.99,0.93,0.73,0.55,0.93,0.97,0.7
-0.15,0.5,1.05,1.19,-0.03,0.61,0.7,0.63,-0.13,0.7,0.56,0.48
-1.08,-0.03,0.26,-0.08,-0.91,-0.32,-0.57,-0.43,-0.37,0.18,-0.36,-0.31
0.24,-0.02,0.29,-0.58,0.14,0.45,0.04,0.1,0.13,0.32,0.41,0.12
0.48,0.16,1.11,0.6,1.09,1.07,1.61,0.77,0.2,0.96,0.78,0.67
1.44,0.26,0.13,-0.24,0.1,0.56,-0.2,0.16,-0.15,-0.04,0.39,0.3
-0.85,-1.39,-1.08,-0.92,-0.35,-0.97,-1.08,0.37,0.08,-0.35,-0.31,-0.38
1.56,0.71,1.24,1.31,0.34,0.84,0.68,0.92,0.12,1.07,0.52,0.68
1.59,0.47,1,1.28,0.46,0.99,-0.32,0.57,0.58,0.63,0.75,0.37
